,year,selling_price,km_driven,fuel,seller_type,transmission,owner
435,2018,250000,120000,2,1,1,1
436,2015,600000,120000,1,1,1,1
437,2012,285000,75000,2,1,2,2
438,2009,350000,57035,2,2,1,1
439,2011,170000,70000,1,1,1,3
440,2015,229999,45000,2,1,1,1
441,2013,500000,72104,1,2,1,2
442,2011,75000,15000,2,1,1,1
443,2016,600000,30000,2,1,1,1
444,2011,220000,80000,1,1,1,1
445,2009,150000,164000,1,1,1,2
446,2006,65000,124439,2,1,1,2
447,2006,120000,77000,2,1,1,2
448,2014,240000,90000,1,1,1,1
449,2017,390000,30000,2,1,1,1
450,2012,180000,50000,2,1,1,1
451,2012,320000,80000,1,1,1,2
452,2018,310000,5000,2,1,1,1
453,2018,420000,24000,2,1,2,1
454,2019,550000,10000,2,1,1,1
455,2016,550000,78000,1,1,1,3
456,2018,760000,50000,1,1,1,1
457,2001,43000,100000,2,1,1,2
458,2018,250000,20000,2,1,1,1
459,2019,500000,1250,2,1,1,1
460,2015,380000,17152,2,1,1,1
461,2019,1200000,5000,1,1,2,1
462,2012,350000,77000,1,1,1,1
463,2008,195000,90000,1,1,1,2
464,2011,225000,80000,2,1,1,2
465,2015,1125000,65000,1,1,1,1
466,2011,133000,80000,1,1,1,1
467,2013,200000,24005,2,1,1,1
468,2018,940000,20000,1,1,1,1
469,2014,400000,120000,1,1,1,1
470,2009,120000,120000,2,1,1,2
471,2015,625000,80000,1,1,1,1
472,2005,110000,80000,2,1,1,1
473,2012,490000,100000,1,1,1,1
474,2009,140000,120000,2,1,1,2
475,2011,175000,149000,1,1,1,2
476,2005,90000,65000,2,1,1,2
477,2009,275000,100000,1,1,1,2
478,2011,300000,65000,1,1,1,2
479,2018,270000,19000,2,1,1,2
480,2010,130000,80000,2,1,1,2
481,2015,275000,30000,2,1,1,1
482,2012,352000,109000,1,1,1,1
483,2012,180000,90000,3,1,1,1
484,2012,150000,90000,2,1,1,1
486,2010,300000,110000,1,1,1,2
487,2007,225000,120000,1,1,1,1
488,2014,600000,44000,1,1,1,1
489,2015,500000,80000,2,1,1,1
490,2018,900000,5000,2,1,1,1
491,2016,600000,61000,2,1,1,1
492,2011,450000,100000,1,1,1,2
493,2009,270000,27633,2,1,1,1
494,2010,310000,100000,1,1,1,3
495,2012,250000,100000,3,1,1,1
496,2019,700000,12586,2,2,1,1
497,2018,650000,38083,1,2,1,1
498,2012,400000,55328,1,2,1,1
499,2012,425000,81632,1,2,1,1
500,2016,600000,155201,1,2,1,1
501,2013,600000,93283,1,2,1,1
502,2009,300000,169500,1,2,1,1
503,2012,450000,90165,1,2,1,1
504,2014,750000,101504,1,2,1,1
505,2010,325000,86017,1,2,1,2
506,2013,900000,85036,1,2,1,2
507,2006,180000,91086,2,2,1,2
508,2013,350000,160254,1,2,1,2
509,2013,600000,125531,1,2,1,2
510,2019,900000,60000,1,1,1,1
511,2006,350000,100000,1,1,1,1
512,2013,280000,90000,1,1,1,3
513,2009,225000,120000,1,1,1,2
514,2014,520000,82000,1,1,1,1
515,2016,509999,60000,1,1,1,1
516,2019,556000,24000,2,1,1,1
517,2014,225000,120000,1,1,1,1
518,2013,325000,65000,1,2,1,1
519,2013,365000,65000,1,2,1,1
520,2015,850000,84000,1,2,1,1
521,2013,350000,75000,1,2,1,1
522,2007,225000,50000,1,2,1,1
523,2011,135000,50000,2,1,1,1
524,2007,140000,49000,2,2,1,1
525,2016,665000,169500,1,2,1,1
526,2015,275000,14365,2,2,1,1
527,2017,1200000,41000,1,1,2,1
528,2013,484999,65000,1,2,1,1
529,2015,565000,65000,1,2,1,1
530,2013,425000,61083,1,2,1,1
531,2013,925000,75000,1,1,1,1
532,2012,565000,72000,1,2,1,1
533,2014,525000,65000,1,2,1,1
534,2017,1200000,55000,1,2,1,1
535,2015,295000,21000,2,2,1,2
536,2012,1200000,66363,2,2,2,2
537,2018,1200000,11700,2,2,2,1
538,2017,1100000,10000,2,1,2,1
539,2014,1200000,100000,1,1,2,2
540,2016,670000,7104,2,3,1,1
541,2015,750000,45974,1,3,1,1
542,2015,760000,55340,2,3,1,1
543,2017,850000,20000,2,2,2,2
544,2015,390000,61585,1,3,1,1
545,2016,450000,39415,2,3,2,2
546,2014,425000,29654,2,3,1,1
547,2016,770000,64672,1,3,1,1
548,2015,1150000,54634,1,3,2,2
549,2015,775000,66521,2,3,1,1
550,2018,1200000,23974,1,2,2,2
551,2016,1200000,43000,1,2,2,1
552,2013,450000,1000,1,2,1,2
553,2018,1200000,10000,1,2,2,1
554,2013,1200000,86000,1,2,2,1
555,2019,1200000,30000,1,2,2,1
556,2016,535000,52600,1,1,1,1
557,2012,225000,110000,2,1,1,2
558,2017,550000,19890,2,2,2,1
560,2015,625000,11918,2,3,1,1
561,2017,520000,10510,2,2,2,1
562,2016,239000,41000,2,2,1,1
563,2017,1200000,47162,1,3,2,1
565,2012,229999,49824,2,2,1,1
566,2013,1200000,58500,1,2,2,1
567,2005,80000,56580,2,2,1,1
568,2012,385000,52000,1,2,1,1
570,2017,600000,46507,1,3,1,1
628,2013,350000,50000,2,1,1,2
629,2014,114999,30000,2,1,1,1
630,2013,380000,50000,2,1,1,2
631,2001,95000,100000,2,1,1,2
632,2016,900000,35000,1,1,1,1
633,2012,200999,90000,2,1,1,2
634,2014,229999,11451,2,1,1,1
635,2019,800000,60000,1,1,1,1
636,2012,150000,169500,1,1,1,2
637,2018,600000,60000,1,1,1,1
638,2005,150000,150000,1,1,1,1
639,2009,150000,66000,1,1,1,1
640,2019,380000,5000,2,1,1,1
641,2006,80000,66508,2,1,1,2
642,2007,225000,55000,2,1,1,2
643,2012,75000,29900,2,1,1,1
644,2017,1200000,3000,1,1,1,1
645,2012,185000,85000,1,1,1,1
646,2011,425000,50000,1,1,1,1
647,2010,100000,120000,1,1,1,2
648,2008,140000,90000,2,1,1,3
649,2017,710000,8000,2,1,2,1
650,2015,450000,7900,2,1,2,1
651,2017,210000,50000,2,1,1,1
652,2016,270000,25000,2,1,1,1
653,2009,110000,20000,2,1,1,1
654,2018,540000,17500,2,1,1,1
655,2008,145000,25000,2,1,1,1
656,2013,360000,169500,1,1,1,1
657,2013,250000,88600,3,1,1,1
658,2012,110000,80000,1,1,1,1
659,2008,250000,100000,1,1,1,3
660,2011,150000,169500,1,1,1,2
661,2010,140000,60000,2,1,1,1
662,2019,925000,11000,2,1,1,1
663,2017,969999,30000,1,1,1,1
664,2007,90000,80000,3,1,1,3
665,2001,55000,60000,2,1,1,3
666,2007,155000,100000,1,1,1,3
667,2019,900000,15000,1,1,1,1
668,2011,135000,90000,2,1,1,1
669,2012,180000,120000,2,1,1,1
670,2013,495000,100000,1,1,1,2
671,2009,400000,138000,1,1,1,3
672,2008,250000,110000,1,1,1,2
673,2015,138000,120000,2,1,1,3
674,2011,311000,70000,2,1,2,2
675,2015,190000,70000,2,1,1,1
676,2011,311000,140000,1,1,1,1
677,2009,300000,15000,2,1,1,1
678,2018,600000,20000,2,1,1,1
679,2009,550000,100000,1,1,1,1
680,2015,600000,70000,2,1,2,1
681,2018,195000,5000,2,1,1,1
682,2013,58000,27974,2,1,1,1
683,2018,183000,40000,2,1,1,1
685,2013,250000,38000,2,1,1,1
687,2014,400000,35000,2,1,1,1
688,2012,409999,60000,1,1,1,2
689,2004,120000,120000,1,1,1,2
690,2018,600000,18000,2,1,2,1
691,2016,600000,10000,2,1,1,1
692,2015,825000,90000,1,1,1,3
693,2016,625000,80000,1,1,1,2
694,2020,700000,1400,1,1,1,1
695,2011,160000,60000,2,1,1,1
696,2011,114999,60000,2,1,1,3
697,2009,150000,53000,2,1,1,1
698,2010,250000,100000,1,2,1,1
699,2012,390000,86000,1,2,1,2
700,2015,650000,100000,1,1,1,1
701,2016,600000,30000,1,1,1,1
702,2011,250000,120000,2,1,1,1
703,2011,229999,60000,3,1,1,2
704,2016,299000,50000,1,1,1,2
705,2010,330000,124000,1,1,1,2
706,2012,180000,100000,2,1,1,3
707,2017,475000,42000,2,1,1,1
708,2015,325000,100000,1,1,1,1
709,2016,639000,28205,2,2,1,1
710,2017,415000,32670,2,2,2,1
711,2016,1199000,30093,1,2,2,1
712,2013,525000,56228,3,2,1,1
713,2013,425000,59319,2,2,1,1
714,2016,699000,39503,1,2,1,1
715,2013,325000,35299,2,2,1,1
716,2011,275000,51687,2,2,1,1
717,2011,269000,76259,2,2,2,1
718,2013,399000,44049,1,2,1,1
719,2017,475000,45087,1,2,1,1
720,2011,249000,41125,2,2,1,1
721,2014,1200000,42215,1,2,2,1
722,2011,254999,54206,2,2,1,1
723,2012,269000,52547,2,2,1,1
724,2014,665000,59110,1,2,1,1
725,2014,299000,54565,2,2,1,1
726,2010,265000,47564,2,2,1,2
727,2010,211000,45143,2,2,1,2
728,2013,599000,61624,2,2,2,2
729,2007,55000,169500,1,1,1,3
730,2014,550000,50000,1,1,1,1
731,2018,1200000,68000,1,1,2,1
732,2010,220000,120000,1,1,1,2
733,2019,500000,20000,2,1,1,1
734,2010,140000,30000,2,1,1,1
735,2013,325000,60000,1,1,1,1
736,2010,210000,90000,2,1,1,3
737,2008,110000,90000,2,1,1,2
738,2019,1200000,25000,1,1,1,1
739,2017,229999,40000,2,1,1,1
741,2006,165000,132000,2,1,1,1
742,2018,525000,10980,2,2,2,1
743,2018,325000,20629,2,2,1,1
744,2018,1200000,50000,1,1,1,1
745,2015,400000,30000,2,1,2,1
746,2015,550000,69782,2,2,1,1
747,2003,98000,54000,2,1,1,1
748,2013,900000,63654,1,2,1,1
749,2017,700000,60000,1,1,1,1
750,2015,890000,52000,1,2,1,1
751,2015,490000,59385,1,2,1,1
752,2015,525000,70378,2,2,1,1
753,2013,330000,55425,2,2,1,1
754,2013,550000,78413,1,2,1,2
755,2018,790000,40890,1,2,1,1
756,2015,350000,34823,2,2,1,2
757,2017,1200000,75000,1,1,2,1
758,2017,750000,55545,1,2,1,1
759,2014,409999,56541,1,2,1,1
760,2016,220000,43700,2,1,1,1
761,2009,68000,120000,2,1,1,2
762,2017,290000,20000,2,1,1,1
763,2014,600000,27483,1,2,1,1
764,2019,470000,8000,2,1,1,1
765,2008,150000,30000,2,1,1,1
766,2014,180000,56207,2,2,1,2
767,2006,80000,70000,2,1,1,1
768,2018,875000,1440,2,1,1,1
769,2019,300000,50000,2,1,1,1
770,2017,1200000,20000,1,1,2,1
771,2017,1200000,91195,1,2,1,1
772,2011,220000,63657,1,2,1,1
773,2013,250000,60000,1,1,1,1
774,2016,919999,75000,1,2,1,1
775,2013,380000,97248,2,2,1,1
776,2012,450000,46000,1,1,1,1
777,2016,770000,10000,2,1,2,1
778,2018,550000,80000,1,1,1,1
779,2011,320000,100000,1,1,1,2
780,2013,400000,35000,2,1,1,1
781,2017,450000,50000,2,1,2,1
782,2011,220000,90000,1,1,1,3
783,2012,400000,150000,1,1,1,2
784,2013,530000,89000,2,1,1,2
785,2014,390000,60000,1,1,1,2
786,2012,185000,100000,1,1,1,2
787,2012,300000,100000,2,1,1,2
788,2014,575000,90000,1,1,1,2
789,2014,300000,75000,2,1,1,1
790,2017,425000,36000,1,2,1,1
791,2016,350000,12000,2,1,1,1
792,2017,550000,12997,1,2,1,1
793,2017,500000,40000,2,1,2,1
794,2015,600000,60000,1,1,1,1
795,2013,300000,25000,1,1,1,2
796,2018,1150000,26430,1,2,1,1
797,2015,475000,24600,2,2,1,1
798,2011,260000,28481,2,2,1,1
799,2013,350000,100000,2,1,1,1
800,2013,750000,41988,1,2,1,1
801,2009,180000,30375,2,2,1,1
802,2017,350000,7658,2,2,2,1
803,2017,611000,34400,1,2,1,1
804,2017,325000,18500,2,2,1,1
805,2012,225000,48000,2,2,1,1
806,2014,300000,28942,2,2,2,1
807,2017,400000,50000,1,1,1,2
808,2012,711000,53600,1,2,1,1
809,2015,851000,53652,1,2,1,1
810,2014,500000,25000,2,1,1,1
